centered,centered
diffusion,diffusion
medium close-up,medium close-up
micro,micro
over shoulder,over shoulder
diagonal,diagonal
deep,deep
low,low
organic,organic
reflection,reflection
panorama,panorama
vertical,vertical
triangular,triangular
parallel,parallel
sparse,sparse
kaleidoscopic,kaleidoscopic
horizontal,horizontal
flat,flat
planimetric,planimetric
symmetrical,symmetrical
matted,matted
grid,grid
two shot,two shot
top shot,top shot
three shot,three shot
layers,layers
high,high
graphical,graphical
window,window
high angle,high angle
high,high
low angle,low angle
Mise-en-cadre,Mise-en-cadre
indetermined,indetermined
low,low
indetermined,indetermined
mirror,mirror
choker close-up,choker close-up
close-up,close-up
circular,circular
tilted,tilted
detail,detail
establishing shot,establishing shot
long shot,long shot
macro,macro
medium,medium
geometrical,geometrical
framed,framed
cluttered,cluttered
no clear separation,no clear separation
blurred,blurred
clear,clear
inconsistent,inconsistent
detailed,detailed
simplified,simplified
realistic,realistic
no,no
linear perspective,linear perspective
aerial perspective,aerial perspective
shadowing,shadowing
texture gradients,texture gradients
covering,covering
overlapping,overlapping
elevation,elevation
others,others
no,no
exteriors,exteriors
interiors,interiors
bar / restaurant,bar / restaurant
farm,farm
fantasy world,fantasy world
garden,garden
prison,prison
city,city
at home,at home
nature,nature
castle,castle
school,school
theater,theater
underwater,underwater
transportation,transportation
forest,forest
outer space,outer space
others,others
dawn,dawn
morning,morning
noon,noon
afternoon,afternoon
sunset,sunset
evening,evening
night,night
dusk,dusk
spring,spring
summer,summer
fall,fall
winter,winter
indetermined,indetermined
0-area,0-area
0-space,0-space
scenery space,scenery space
facade space,facade space
depth space,depth space
figural space,figural space
others,others
diagonal ,diagonal
nondiegetic insert,nondiegetic insert
normal lens,normal lens
telephoto lens,telephoto lens
wide-angle lens,wide-angle lens
